0000000000000002	图刊冰封之国
0000000000000003	湖北政协原副主席陈柏槐被调查陈柏槐湖北省政协原副主席陈柏槐正接受组织调查据中央纪委消息，湖北省政协原副主席陈柏槐涉嫌严重违纪违法，目前正接受组织调查。央视记者刘珺陈柏槐同志简历陈柏槐，男，1950年8月出生，汉族，湖北武汉人，1973年6月加入中国共产党，1971年11月参加工作，在职硕士研究生学历，华中师范大学旅游学院区域经济学专业毕业。现任中共湖北省委委员省农业厅厅长党组书记。其主要经历是：197111197409新洲县旧街区农业技术员；197409197609黄冈地区农业学校学习；197609197810黄冈地区革委会农办干部；197810198209湖北省委农办干部；198209198507华中农学院农经系农业经济管理学专业学习；198507198705湖北省政府办公厅农业处干部；198705199102湖北省政府办公厅农业处副处长；199102199503湖北省政府办公厅农业处处长；199503199706湖北省水利厅副厅长；199706200011湖北省政府副秘书长其间：199709199901华中师范大学旅游学院区域经济学专业在职研究生学习；200011200205湖北省政府副秘书长，省政府参事室主任；200205200301湖北省政府副秘书长，省农业厅党组书记，省政府参事室主任；200301200302湖北省政府副秘书长，省农业厅厅长党组书记，省政府参事室主任；2003022009湖北省农业厅厅长党组书记其间：200510200601中央党校第45期进修二班学习；
0000000000000004	中国古代的间谍工具更高级的窃听器：矢服。出于传递情报需要而发明的风筝。说到间谍工具，就不能不提一下间谍。间谍，就是所谓的情报人员，也叫特务特工。西方学者认为，人类间谍鼻祖是公元前十世纪时名叫娣莱拉的菲利斯女人，实际上中国早在公元前二十世纪前后的夏代前期就出现了间谍，而且也是一位女人，名叫女艾。间谍出现都这么早，搜集情报的手段和间谍工具自然也不会落后。其中有四种为国际情报界人士瞩目，可谓间谍工具上的中国四大发明。
0000000000000005	全国小产权房摸底排查国土部存量房有望转正存量小产权房未来或有制可寻。近日，记者从知情人士处获悉，国土资源部正在研究出台小产权房管理办法，未来或将根据出租和出售等性质类别，分类整理存量小产权房。随后，记者分别从国土资源部和北京市国土资源局得到证实，国土资源部目前已就小产权房的处理成立了专项研究小组，希望能尽快推出管理办法。目前的主要思路是，针对新增项目的清理，保证不再有新上市项目；而对于存量小产权房，现在处于研究阶段，研究方向倾向于逐步分类整理，区分出租和出售等类型出台相应办法统一管理。此前针对在建在售小产权房的清理工作已率先在北京展开，并针对小产权房的存量情况进行了摸底排查。目前该项摸底已扩展至全国，河北海南山西等地已就此出台了相关政策，将陆续开展清理排查工作。摸清在建在售已售小产权房的总体情况与数量，对制定小产权房管理方案意义重大，目前编制小产权房的管理办法已提上日程，但具体方案出台时间还有待进一步确定。上述知情人士表示。增量房严格清理11月22日，国土资源部住房和城乡建设部联合下发的坚决遏制在建在售小产权房的通知，让此前的小产权房转正传闻戛然而止，也表明了中央部委对于小产权房的整治决心。小产权房治理要区分类别。国土资源部相关人士对记者表示，在严格清理增量小产权房的同时，也要处理好存量小产权房，要对症下药实行综合治理。目前，对于增量小产权房的清理已在北京展开。而一直以来北京市的清理动作和管理方法，都在全国产生示范效应。从2012年起，国家就把北京上海列为全国小产权房清理的试点城市。其中北京昌平通州两地更是重中之重。自试点以来，北京对小产权房的清理就开始加大力度，从以往的喊话，到现在落实各种清理处罚。自2012年到2013年11月底，北京市国土资源局已先后5次公布小产权房和变相小产权房项目，共计108个，主要集中在昌平区房山区怀柔区和通州区，其中昌平区数量最多，占四成左右。这108个中包括85个小产权房和23个变相小产权房，其中变相小产权房多以生态农庄农家院私家菜园等各类名称出现。北京市国土资源局相关工作人员对记者透露，从今年上半年起，国土资源部小产权房的例行督查组就驻扎在昌平区，到现在为止都还没走，给昌平区提了三四百条整改意见，要求逐项解决。
0000000000000006	贵州凯里爆炸案件已造成15人死亡8人受伤13日发生在贵州省凯里市龙场镇老山村的爆炸案件，截至记者发稿时，确认造成15人死亡，8人受伤。目前伤者生命体征平稳。记者14日从贵州凯里113爆炸专案组了解到，经公安机关连夜侦查，初步查明爆炸发生在老山村荒无人烟的一偏僻山坡，爆炸死伤人员系涉嫌在此聚众赌博人员。公安机关现已刑事拘留犯罪嫌疑人8人，其中自首3人。案件发生后，当地党委政府负责人立即率公安武警消防卫生等有关部门人员赶到现场开展工作。公安部工作组已于14日凌晨赶到案件现场指导案件侦破。目前，公安机关正在对案件加紧进行深入调查，当地党委政府组织有关方面正全力开展善后处理事宜。记者杨洪涛
0000000000000008	郝鹏：加强公共文化服务深入推进文化惠民1月29日，省长郝鹏专程前往省文化新闻出版厅省广播电视局及省广播电视台调研。他强调，要不断推动文化新闻出版和广播电视事业发展迈上新台阶，进一步提升公共文化服务水平，更好地弘扬主旋律凝聚正能量。在青海民族出版社和青海人民出版社，郝鹏饶有兴趣地翻阅了他们出版的部分精品图书，详细了解出版社的管理运行选题策划出版发行等情况。他充分肯定了民族出版社独立运行和人民出版社转企改制后取得的成绩。他指出，出版事业要繁荣发展，必须坚定不移地走改革之路，始终保持创新进取精神，提升品质，打造品牌，不仅表现形式要新，而且题材内容要精。他希望两家出版社巩固老阵地开辟新战场，进一步做大做强。省演艺集团有限公司的乐团歌舞团戏剧团等排练厅里充满生机与活力，器乐合奏春节序曲民族舞蹈狂舞大锅庄京剧折子戏火烧于洪等正在紧锣密鼓地排练。郝鹏一行走进排练厅，与正在排练的演职人员亲切交谈。得知集团组建以来，人事制度分配制度艺术创作生产等全部企业化运行，演出场次大幅增加，人均工资比转制前有所提高时，郝鹏十分高兴，他说，转企改制增添了活力，产生了创造力，在艺术生产创作公益性文化服务对外文化交流等方面取得了很大的成绩，希望省演艺集团巩固成效再接再厉，坚持改革创新内涵发展，出人才出产品出效益，繁荣文化市场，服务人民群众。随后，郝鹏前往省广播电视局省广播电视台调研。在广播电视台播控中心新闻中心录播机房藏语中心录播机房等部门，郝鹏与编采人员亲切交谈，详细询问采访一线新闻工作者的工作生活情况，对青海藏语卫视实现中央电视台新闻联播当天全译全播等工作给予了充分肯定。郝鹏希望广播电视台继续弘扬主旋律，提高收视率，使传播平台有更重要的社会影响力。在广电信息网络公司，郝鹏要求切实保证广播电视节目安全传输，扩大中央和省级广播电视节目在我省藏区的有效覆盖，加快推进重点业务向网络数据业务转型，为全省有线电视用户提供安全优质服务。
0000000000000011	日媒地中海护航凸显中国远洋存在尽管美国及盟国认为北京在近海的行为正越发影响地区稳定，但中国正逐步实现对东亚之外的国际安全贡献的多样化。近期派遣护卫舰为销毁叙利亚化武护航，就反映出中国正在寻求新途径。这提醒人们，正在进行的反海盗努力已令中国获得一种富有成效的远洋存在。在亚丁湾的多年存在，令中国海军调遣盐城号军舰成为可能。中国媒体报道称，此次执行从叙利亚至意大利的护航任务，是解放军海军首次在地中海开展此类活动，是首演。但与这些报道相反，其实自2008年以来，中国一直在亚丁湾及其周边海域保持积极存在。从那时起，在亚丁湾部署的军舰就已令中国海军以反海盗名义频繁进入地中海。中国舰船早已熟谙地中海，过去10年内不断访问欧洲港口。自2002年首次开展环球航行以来，中国海军已多次造访埃及土耳其希腊和葡萄牙等国。除了外交友好访问，中国护航舰队还常在地中海开展补给和检修。此外，反海盗任务还令其探索了地中海的广大周边地区，包括黑海直布罗陀海峡和盐城号此次途经的红海。上述经历不但赋予解放军海军在全世界关注下为叙化武成功护航的自信和能力，还反映出北京已获得运用于多层面国际安全事务的信心和技能。中国海岸线距离亚丁湾约1万公里，离地中海更远。许多中国军舰需两周多才能抵达地中海。很难确定若缺乏在亚丁湾的海军存在，是否会阻碍中国派遣盐城号执行本次任务。5年的打击海盗活动，已成为中国开展海事和外交活动的跳板。但正如北京所学到的，与成功相伴而至的是不切实际的期望值，外界期待中国对21世纪面临的一系列国际安全威胁做出更有意义的贡献。有专家指出，中国海军在销毁叙化武中的作用被夸大了，其贡献远比不上一些国家。这也带来一个问题：当各国海军开始撤离亚丁湾时，中国今后将如何做出更有意义的贡献。中国军事专家认为，中国海军为销毁叙化武护航的行动，与中国对索马里附近海域的贡献极为相似，对中国海军而言，此类军事行动已如同在公园内散步。中国本次护航表明，反海盗行动已远超护航本身的意义。但反海盗使命非永久性平台，随着北京的国际安全活动与日俱增，需要找到支撑和维持此类活动的其他可靠途径。作者安德鲁埃里克森wwwstnncc
0000000000000012	浙江磐安一婚礼现场发生坍塌事故已造成6人死亡中新网金华2月13日电见习记者胡丰盛实习生李婷婷奚金燕13日晚17点25分，浙江磐安万苍乡乡政府旁边砖木结构的礼堂坍塌。记者从浙江省金华市委外宣办获悉，目前事故已造成6人死亡，10人重伤，约50人受伤。据了解，当时大会堂内正举行婚宴，有200多名村民参加。而倒坍的大会堂为砖木结构，建筑面积约400平方米，坍塌面积约300平方米。据悉，在20时05分，现场搜救结束，未发现有人员被埋压。而目前已有50多名村民被送往医院救治，其中10人重伤，6人抢救无效死亡。事故原因正在调查中。完
0000000000000014	中兴通讯推全球首款电信制式真八核手机售款全球电信制式八核手机青漾2新浪科技讯1月21日消息，中兴通讯于20日携手中国电信联发科以及威盛集团威睿电通发布全球首批电信制式真八核手机青漾2和MemoII。这两款产品均为第二代的机型，除了继承了第一代的出色设计外，还作了很大的升级，最主要的是均采用目前性能与功耗综合表现最出色的联发科MT6592八核处理器。据悉，中兴青漾2售价为1599元，6英寸的MemoII售价则为1999元，均在2000元以内，并且上市时间同为2014年2月28日。中兴青漾2搭载了联发科全新的17GHz真八核处理器，拥有1GBRAM8GBROM的内存组合，不仅带来更流畅的网页浏览体验和应用性能，并支持超高清的4K视频播放，实现对多媒体处理以及高端游戏支持。外观上，中兴青漾2采用了纯白的设计，搭载5英寸720P屏幕机身设计紧凑，三围仅为14272785mm，超薄的机身厚度带来良好的握持手感。中兴青漾2配备了一颗索尼800万像素的背照式摄像头，支持持续跟踪对焦，动作捕捉，零秒拍摄等多种拍摄模式，让拍照变得更加容易和有趣。但是其前置摄像头升级到了500万像素，适合年青消费者的需求。中兴MemoII延续上一代大屏幕的设计理念，60英寸1080P的IPS屏幕带来顶级的视觉体验。而为配合这块大屏幕，中兴也在系统方面作了一些针对性的研发，如智能分屏功能，一屏多用效率更高。与青漾2相同，MemoII同时是联发科17GHz真八核处理器，内存提升为2GBRAM16GBROM内存组合，更加适合追求高性能的消费者。中兴MemoII采用1300万像素索尼BSI镜头，前置为500万像素，并支持声照相跟踪拍照动作捕捉等拍摄模式，而零秒拍摄全景拍照美肤连拍等常规功能也一个不少。中兴通讯与中国电信经过长期深度的合作，这次发布的青漾2以及MemoII则是对市场深耕后的成果，满足中国电信对高性能以及高性价比产品的要求，从整个市场来看，将冲击原来中国电信体系的手机市场，也将全面中国电信手机的八核化。康钊
0000000000000015	郑洁无缘澳网混双决赛
